IL	il	Estimate	std_error	df	t_value	p_value	trait
IL11.4	11.4	0.18784919	0.14191682	117.0108358	1.32365699	0.188197273	eps13C_i.C33
IL11.4.1	11.4.1	-0.030644903	0.14191682	117.0108358	-0.215935664	0.829413874	eps13C_i.C33
IL12.1	12.1	0.122992692	0.158902501	117.1064124	0.774013566	0.440482564	eps13C_i.C33
IL12.1.1	12.1.1	-0.002364579	0.14191682	117.0108358	-0.016661723	0.98673486	eps13C_i.C33
IL12.2	12.2	0.066060513	0.158902501	117.1064124	0.415729847	0.678368509	eps13C_i.C33
IL12.3	12.3	0.132921126	0.14191682	117.0108358	0.936612917	0.35088681	eps13C_i.C33
IL12.3.1	12.3.1	0.258243095	0.14191682	117.0108358	1.819679273	0.071364381	eps13C_i.C33
IL12.4	12.4	-0.058274217	0.14191682	117.0108358	-0.410622346	0.682100433	eps13C_i.C33
IL12.4.1	12.4.1	0.29202033	0.14191682	117.0108358	2.057686542	0.041841967	eps13C_i.C33
IL02.1	2.1	0.491796702	0.158905084	117.1084813	3.094908537	0.002462966	eps13C_i.C33
IL02.1.1	2.1.1	0.182476066	0.158905084	117.1084813	1.148333713	0.25317106	eps13C_i.C33
IL02.3	2.3	0.057392991	0.14191682	117.0108358	0.404412888	0.686647393	eps13C_i.C33
IL02.4	2.4	0.2185108	0.158902501	117.1064124	1.37512499	0.171717785	eps13C_i.C33
IL02.5	2.5	0.187138047	0.14191682	117.0108358	1.318646	0.18986261	eps13C_i.C33
IL02.6	2.6	0.184813897	0.14191682	117.0108358	1.302269152	0.195381929	eps13C_i.C33
IL02.6.5	2.6.5	0.257554676	0.158902501	117.1064124	1.620834625	0.107742723	eps13C_i.C33
IL03.1	3.1	0.2052373	0.14191682	117.0108358	1.446180239	0.150799971	eps13C_i.C33
IL03.2	3.2	0.306510945	0.14191682	117.0108358	2.159792935	0.032828815	eps13C_i.C33
IL03.3	3.3	0.122620698	0.14191682	117.0108358	0.864032174	0.389337962	eps13C_i.C33
IL03.4	3.4	0.033498052	0.158897335	117.102271	0.210815692	0.833397504	eps13C_i.C33
IL03.5	3.5	0.318823456	0.14191682	117.0108358	2.246551582	0.026544657	eps13C_i.C33
IL04.1	4.1	0.169875285	0.14191682	117.0108358	1.197006003	0.233723721	eps13C_i.C33
IL04.1.1	4.1.1	0.26553032	0.201450123	117.2495208	1.318094604	0.190041299	eps13C_i.C33
IL04.2	4.2	0.255885009	0.14191682	117.0108358	1.8030633	0.073951853	eps13C_i.C33
IL04.3	4.3	0.235541703	0.158905084	117.1084813	1.482279213	0.140951996	eps13C_i.C33
IL04.3.2	4.3.2	0.219294397	0.158897335	117.102271	1.380101163	0.170184618	eps13C_i.C33
IL04.4	4.4	0.016571689	0.14191682	117.0108358	0.116770435	0.907242159	eps13C_i.C33
IL05.1	5.1	0.056228534	0.14191682	117.0108358	0.39620768	0.692673403	eps13C_i.C33
IL05.2	5.2	0.145327125	0.158902501	117.1064124	0.914567889	0.362297796	eps13C_i.C33
IL05.4	5.4	0.138238107	0.14191682	117.0108358	0.97407839	0.332027046	eps13C_i.C33
IL05.5	5.5	0.288655268	0.201450123	117.2495208	1.432887024	0.154551084	eps13C_i.C33
IL06.1	6.1	0.272922929	0.14191682	117.0108358	1.923118978	0.056895118	eps13C_i.C33
IL06.2	6.2	0.194113994	0.14191682	117.0108358	1.367801184	0.173995548	eps13C_i.C33
IL06.2.2	6.2.2	0.189129943	0.14191682	117.0108358	1.332681661	0.185225613	eps13C_i.C33
IL06.3	6.3	0.173353121	0.14191682	117.0108358	1.221512157	0.224347509	eps13C_i.C33
IL06.4	6.4	0.124572425	0.14191682	117.0108358	0.877784781	0.38185932	eps13C_i.C33
IL07.2	7.2	0.10037726	0.14191682	117.0108358	0.707296434	0.480788588	eps13C_i.C33
IL07.3	7.3	0.130954617	0.14191682	117.0108358	0.922756144	0.358033127	eps13C_i.C33
IL07.4	7.4	0.213832472	0.14191682	117.0108358	1.506745096	0.13457103	eps13C_i.C33
IL07.4.1	7.4.1	0.178215391	0.158897335	117.102271	1.121575708	0.264337504	eps13C_i.C33
IL07.5	7.5	0.186851814	0.14191682	117.0108358	1.316629097	0.190535996	eps13C_i.C33
IL07.5.5	7.5.5	0.131352328	0.158905084	117.1084813	0.82660872	0.410139888	eps13C_i.C33
IL08.1	8.1	0.146587847	0.14191682	117.0108358	1.032913838	0.30377439	eps13C_i.C33
IL08.1.1	8.1.1	0.077547211	0.14191682	117.0108358	0.5464272	0.585812753	eps13C_i.C33
IL08.1.3	8.1.3	0.218904391	0.201450123	117.2495208	1.086643125	0.279423461	eps13C_i.C33
IL08.2.1	8.2.1	0.193351184	0.14191682	117.0108358	1.362426132	0.175680126	eps13C_i.C33
IL08.3	8.3	-0.004281544	0.14191682	117.0108358	-0.030169391	0.975983358	eps13C_i.C33
IL08.3.1	8.3.1	0.28711093	0.14191682	117.0108358	2.023093036	0.045342759	eps13C_i.C33
IL09.1	9.1	0.134059249	0.14191682	117.0108358	0.944632564	0.34679299	eps13C_i.C33
IL09.1.2	9.1.2	0.217717951	0.14191682	117.0108358	1.53412366	0.127698716	eps13C_i.C33
IL09.1.3	9.1.3	0.377289799	0.14191682	117.0108358	2.658527718	0.008946783	eps13C_i.C33
IL09.2	9.2	0.217695049	0.14191682	117.0108358	1.533962284	0.127738398	eps13C_i.C33
IL09.2.5	9.2.5	0.191662279	0.14191682	117.0108358	1.350525467	0.179453673	eps13C_i.C33
IL09.2.6	9.2.6	0.170111143	0.158905084	117.1084813	1.070520453	0.286586503	eps13C_i.C33
IL09.3	9.3	0.306849815	0.14191682	117.0108358	2.162180744	0.032639938	eps13C_i.C33
IL09.3.1	9.3.1	0.350078102	0.14191682	117.0108358	2.466783732	0.015081753	eps13C_i.C33
IL09.3.2	9.3.2	0.113703729	0.14191682	117.0108358	0.80119981	0.424639924	eps13C_i.C33
IL01.1	1.1	0.03604561	0.012675846	119.0260172	2.843645286	0.005251117	eps13C_n.C31
IL01.1.2	1.1.2	0.017625423	0.012675846	119.0260172	1.390473107	0.166979715	eps13C_n.C31
IL01.1.3	1.1.3	0.025933857	0.017990104	119.219957	1.441562419	0.152047452	eps13C_n.C31
IL01.2	1.2	0.009481784	0.012675846	119.0260172	0.7480198	0.455923628	eps13C_n.C31
IL01.3	1.3	0.023686108	0.014192208	119.1050641	1.668951614	0.09775356	eps13C_n.C31
IL01.4	1.4	0.013901409	0.012675846	119.0260172	1.096684868	0.274993029	eps13C_n.C31
IL01.4.18	1.4.18	0.024775978	0.012675846	119.0260172	1.954581768	0.052977206	eps13C_n.C31
IL10.1	10.1	-0.007811092	0.012675846	119.0260172	-0.616218591	0.538926978	eps13C_n.C31
IL10.1.1	10.1.1	0.018716049	0.014193129	119.1124425	1.318669666	0.189809383	eps13C_n.C31
IL10.2	10.2	0.007122865	0.012675846	119.0260172	0.561924199	0.575224296	eps13C_n.C31
IL10.2.2	10.2.2	0.020020799	0.012675846	119.0260172	1.579444812	0.116887993	eps13C_n.C31
IL10.3	10.3	0.005402063	0.014193359	119.1142846	0.380604992	0.704174284	eps13C_n.C31
IL11.1	11.1	0.009131904	0.012675846	119.0260172	0.720417677	0.472680312	eps13C_n.C31
IL11.2	11.2	0.012530863	0.014193359	119.1142846	0.882868059	0.37908588	eps13C_n.C31
IL11.3	11.3	0.014427005	0.01799301	119.2377224	0.801811613	0.424256994	eps13C_n.C31
IL11.4	11.4	0.015609628	0.012675846	119.0260172	1.231446671	0.220583393	eps13C_n.C31
IL11.4.1	11.4.1	-0.003747273	0.012675846	119.0260172	-0.295623091	0.76803304	eps13C_n.C31
IL12.1	12.1	0.009567485	0.014193129	119.1124425	0.674092715	0.501558478	eps13C_n.C31
IL12.1.1	12.1.1	0.001681253	0.012675846	119.0260172	0.132634416	0.894706478	eps13C_n.C31
IL12.2	12.2	0.010049939	0.014193129	119.1124425	0.708084832	0.480275907	eps13C_n.C31
IL12.3	12.3	0.014576736	0.012675846	119.0260172	1.149961624	0.252464961	eps13C_n.C31
IL12.3.1	12.3.1	0.020741473	0.012675846	119.0260172	1.636298942	0.104418599	eps13C_n.C31
IL12.4	12.4	-0.005096983	0.012675846	119.0260172	-0.402102001	0.688330115	eps13C_n.C31
IL12.4.1	12.4.1	0.025460447	0.012675846	119.0260172	2.008579668	0.046845168	eps13C_n.C31
IL02.1	2.1	0.039103506	0.014193359	119.1142846	2.755056459	0.006790218	eps13C_n.C31
IL02.1.1	2.1.1	0.013550538	0.014193359	119.1142846	0.954709744	0.341658014	eps13C_n.C31
IL02.3	2.3	0.003366931	0.012675846	119.0260172	0.265617877	0.790993029	eps13C_n.C31
IL02.4	2.4	0.034551273	0.014193129	119.1124425	2.434366167	0.016401558	eps13C_n.C31
IL02.5	2.5	0.022919607	0.012675846	119.0260172	1.808132323	0.073110867	eps13C_n.C31
IL02.6	2.6	0.016620064	0.012675846	119.0260172	1.311160174	0.192327505	eps13C_n.C31
IL02.6.5	2.6.5	0.016803852	0.014193129	119.1124425	1.183942717	0.238793034	eps13C_n.C31
IL03.1	3.1	0.016295482	0.012675846	119.0260172	1.285553773	0.201094425	eps13C_n.C31
IL03.2	3.2	0.020365082	0.012675846	119.0260172	1.606605323	0.110790706	eps13C_n.C31
IL03.3	3.3	0.007432265	0.012675846	119.0260172	0.586332891	0.558762138	eps13C_n.C31
IL03.4	3.4	0.006753616	0.012675846	119.0260172	0.532794079	0.595169457	eps13C_n.C31
IL03.5	3.5	0.027164881	0.012675846	119.0260172	2.14304281	0.034145291	eps13C_n.C31
IL04.1	4.1	0.018995793	0.012675846	119.0260172	1.4985819	0.136629661	eps13C_n.C31
IL04.1.1	4.1.1	0.02067723	0.017993737	119.2421487	1.149134872	0.252800135	eps13C_n.C31
IL04.2	4.2	0.022399103	0.012675846	119.0260172	1.767069703	0.079779559	eps13C_n.C31
IL04.3	4.3	0.015080057	0.014193359	119.1142846	1.062472689	0.290170489	eps13C_n.C31
IL04.3.2	4.3.2	0.010845029	0.012675846	119.0260172	0.855566522	0.393956589	eps13C_n.C31
IL04.4	4.4	-0.003751338	0.012675846	119.0260172	-0.295943788	0.767788712	eps13C_n.C31
IL05.1	5.1	0.003374254	0.012675846	119.0260172	0.266195595	0.790549148	eps13C_n.C31
IL05.2	5.2	0.00958222	0.014193129	119.1124425	0.675130917	0.500901053	eps13C_n.C31
IL05.4	5.4	0.008793257	0.012675846	119.0260172	0.693701812	0.489220819	eps13C_n.C31
IL05.5	5.5	0.030900883	0.017993737	119.2421487	1.717313281	0.088518038	eps13C_n.C31
IL06.1	6.1	0.027839559	0.012675846	119.0260172	2.196268308	0.030010989	eps13C_n.C31
IL06.2	6.2	0.024774856	0.012675846	119.0260172	1.954493329	0.052987782	eps13C_n.C31
IL06.2.2	6.2.2	0.017307671	0.012675846	119.0260172	1.365405628	0.174700565	eps13C_n.C31
IL06.3	6.3	0.016949308	0.012675846	119.0260172	1.337134252	0.183728653	eps13C_n.C31
IL06.4	6.4	0.012201638	0.012675846	119.0260172	0.962589663	0.337705	eps13C_n.C31
IL07.2	7.2	0.013568745	0.012675846	119.0260172	1.070440966	0.286586728	eps13C_n.C31
IL07.3	7.3	0.014227644	0.012675846	119.0260172	1.122421658	0.263942272	eps13C_n.C31
IL07.4	7.4	0.013206386	0.012675846	119.0260172	1.041854391	0.299590757	eps13C_n.C31
IL07.4.1	7.4.1	0.013980834	0.014192208	119.1050641	0.985106322	0.32656878	eps13C_n.C31
IL07.5	7.5	0.017285109	0.012675846	119.0260172	1.363625693	0.175258886	eps13C_n.C31
IL07.5.5	7.5.5	0.013062014	0.014193359	119.1142846	0.920290499	0.359281013	eps13C_n.C31
IL08.1	8.1	0.016266049	0.012675846	119.0260172	1.283231853	0.201903755	eps13C_n.C31
IL08.1.1	8.1.1	0.018645381	0.012675846	119.0260172	1.470937759	0.143946746	eps13C_n.C31
IL08.1.3	8.1.3	0.027831445	0.017993737	119.2421487	1.546729582	0.124578428	eps13C_n.C31
IL08.2.1	8.2.1	0.015618313	0.012675846	119.0260172	1.232131801	0.220328326	eps13C_n.C31
IL08.3	8.3	0.001676078	0.012675846	119.0260172	0.132226128	0.8950287	eps13C_n.C31
IL08.3.1	8.3.1	0.034324555	0.012675846	119.0260172	2.707870896	0.007769309	eps13C_n.C31
IL09.1	9.1	0.010502181	0.012675846	119.0260172	0.828519173	0.409034832	eps13C_n.C31
IL09.1.2	9.1.2	0.017314288	0.012675846	119.0260172	1.365927582	0.174537096	eps13C_n.C31
IL09.1.3	9.1.3	0.036059264	0.012675846	119.0260172	2.844722472	0.005234537	eps13C_n.C31
IL09.2	9.2	0.022730755	0.012675846	119.0260172	1.79323372	0.075475014	eps13C_n.C31
IL09.2.5	9.2.5	0.013229782	0.012675846	119.0260172	1.043700092	0.298739298	eps13C_n.C31
IL09.2.6	9.2.6	0.013044798	0.014193359	119.1142846	0.919077596	0.359912406	eps13C_n.C31
IL09.3	9.3	0.026189488	0.012675846	119.0260172	2.066093854	0.040989472	eps13C_n.C31
IL09.3.1	9.3.1	0.03466443	0.012675846	119.0260172	2.734683747	0.007198711	eps13C_n.C31
IL09.3.2	9.3.2	0.002013185	0.012675846	119.0260172	0.158820559	0.874079415	eps13C_n.C31
IL01.1	1.1	-3.366666667	1.237144257	119.0196764	-2.721321016	0.007478194	eps13C_n.C33
IL01.1.2	1.1.2	-1.6	1.237144257	119.0196764	-1.293301077	0.198411493	eps13C_n.C33
IL01.1.3	1.1.3	-2.435804575	1.755659244	119.2513769	-1.387401675	0.167906636	eps13C_n.C33
IL01.2	1.2	-1.1	1.237144257	119.0196764	-0.88914449	0.375718993	eps13C_n.C33
IL01.3	1.3	-2.082097713	1.385091795	119.114392	-1.503220018	0.135429023	eps13C_n.C33
IL01.4	1.4	-1.4	1.237144257	119.0196764	-1.131638442	0.260061386	eps13C_n.C33
IL01.4.18	1.4.18	-2.6	1.237144257	119.0196764	-2.10161425	0.037696212	eps13C_n.C33
IL10.1	10.1	0.766666667	1.237144257	119.0196764	0.619706766	0.536635438	eps13C_n.C33
IL10.1.1	10.1.1	-1.759352105	1.385177302	119.1229812	-1.270127732	0.206514442	eps13C_n.C33
IL10.2	10.2	-0.7	1.237144257	119.0196764	-0.565819221	0.572581894	eps13C_n.C33
IL10.2.2	10.2.2	-2.333333333	1.237144257	119.0196764	-1.886064071	0.061723546	eps13C_n.C33
IL10.3	10.3	-1.158550183	1.385198678	119.1251252	-0.836378349	0.404616682	eps13C_n.C33
IL11.1	11.1	-1.166666667	1.237144257	119.0196764	-0.943032035	0.347574821	eps13C_n.C33
IL11.2	11.2	-1.108550183	1.385198678	119.1251252	-0.800282443	0.425140264	eps13C_n.C33
IL11.3	11.3	-1.78129579	1.755929068	119.2719241	-1.014446325	0.312423293	eps13C_n.C33
IL11.4	11.4	-1.6	1.237144257	119.0196764	-1.293301077	0.198411493	eps13C_n.C33
IL11.4.1	11.4.1	0.366666667	1.237144257	119.0196764	0.296381497	0.767455303	eps13C_n.C33
IL12.1	12.1	-0.759352105	1.385177302	119.1229812	-0.54819849	0.584581479	eps13C_n.C33
IL12.1.1	12.1.1	-0.2	1.237144257	119.0196764	-0.161662635	0.871845644	eps13C_n.C33
IL12.2	12.2	-0.909352105	1.385177302	119.1229812	-0.656487876	0.512776444	eps13C_n.C33
IL12.3	12.3	-1.333333333	1.237144257	119.0196764	-1.077750897	0.283324466	eps13C_n.C33
IL12.3.1	12.3.1	-2.033333333	1.237144257	119.0196764	-1.643570119	0.102904168	eps13C_n.C33
IL12.4	12.4	0.5	1.237144257	119.0196764	0.404156587	0.686822885	eps13C_n.C33
IL12.4.1	12.4.1	-2.533333333	1.237144257	119.0196764	-2.047726705	0.042787349	eps13C_n.C33
IL02.1	2.1	-4.058550183	1.385198678	119.1251252	-2.929940844	0.004064392	eps13C_n.C33
IL02.1.1	2.1.1	-1.408550183	1.385198678	119.1251252	-1.016857874	0.311281837	eps13C_n.C33
IL02.3	2.3	-0.066666667	1.237144257	119.0196764	-0.053887545	0.957115108	eps13C_n.C33
IL02.4	2.4	-2.809352105	1.385177302	119.1229812	-2.028153437	0.0447751	eps13C_n.C33
IL02.5	2.5	-2.366666667	1.237144257	119.0196764	-1.913007843	0.058149521	eps13C_n.C33
IL02.6	2.6	-1.566666667	1.237144257	119.0196764	-1.266357304	0.207858036	eps13C_n.C33
IL02.6.5	2.6.5	-1.709352105	1.385177302	119.1229812	-1.23403127	0.21962032	eps13C_n.C33
IL03.1	3.1	-1.433333333	1.237144257	119.0196764	-1.158582215	0.248945911	eps13C_n.C33
IL03.2	3.2	-1.866666667	1.237144257	119.0196764	-1.508851256	0.133986863	eps13C_n.C33
IL03.3	3.3	-0.7	1.237144257	119.0196764	-0.565819221	0.572581894	eps13C_n.C33
IL03.4	3.4	-1.033333333	1.237144257	119.0196764	-0.835256946	0.405246604	eps13C_n.C33
IL03.5	3.5	-2.666666667	1.237144257	119.0196764	-2.155501795	0.033135812	eps13C_n.C33
IL04.1	4.1	-1.766666667	1.237144257	119.0196764	-1.428019939	0.155904889	eps13C_n.C33
IL04.1.1	4.1.1	-1.682899635	1.755996517	119.2770408	-0.958372991	0.339813289	eps13C_n.C33
IL04.2	4.2	-2.266666667	1.237144257	119.0196764	-1.832176526	0.069425218	eps13C_n.C33
IL04.3	4.3	-1.408550183	1.385198678	119.1251252	-1.016857874	0.311281837	eps13C_n.C33
IL04.3.2	4.3.2	-1.266666667	1.237144257	119.0196764	-1.023863353	0.307976327	eps13C_n.C33
IL04.4	4.4	0.4	1.237144257	119.0196764	0.323325269	0.747016309	eps13C_n.C33
IL05.1	5.1	-0.366666667	1.237144257	119.0196764	-0.296381497	0.767455303	eps13C_n.C33
