IL	il	Estimate	std_error	df	t_value	p_value	trait
IL02.6	2.6	0.921871615	0.255312169	126.9985633	3.610762541	0.000438029	iso_CPI
IL02.6.5	2.6.5	0.327956009	0.285898167	127.0122576	1.147107769	0.253493336	iso_CPI
IL03.1	3.1	0.643966636	0.255312169	126.9985633	2.522271614	0.012895816	iso_CPI
IL03.2	3.2	0.823465553	0.255312169	126.9985633	3.225328261	0.001600144	iso_CPI
IL03.3	3.3	0.365087433	0.255312169	126.9985633	1.429964874	0.155182662	iso_CPI
IL03.4	3.4	0.292561749	0.255312169	126.9985633	1.145898178	0.253991903	iso_CPI
IL03.5	3.5	0.52805562	0.255312169	126.9985633	2.068274392	0.040643767	iso_CPI
IL04.1	4.1	0.495497367	0.255312169	126.9985633	1.94075108	0.054504098	iso_CPI
IL04.1.1	4.1.1	0.75316306	0.362410278	127.028947	2.078205576	0.039703684	iso_CPI
IL04.2	4.2	0.635350649	0.255312169	126.9985633	2.488524744	0.014121902	iso_CPI
IL04.3	4.3	0.155365886	0.255312169	126.9985633	0.608533023	0.543920889	iso_CPI
IL04.3.2	4.3.2	-0.008760636	0.255312169	126.9985633	-0.034313427	0.97268109	iso_CPI
IL04.4	4.4	0.221656258	0.255312169	126.9985633	0.868177415	0.386934828	iso_CPI
IL05.1	5.1	0.006558116	0.255312169	126.9985633	0.025686656	0.979547585	iso_CPI
IL05.2	5.2	0.488989916	0.285898167	127.0122576	1.710363942	0.089640153	iso_CPI
IL05.4	5.4	0.425030132	0.255312169	126.9985633	1.664746864	0.098428538	iso_CPI
IL05.5	5.5	0.607437352	0.362410278	127.028947	1.6761041	0.096177381	iso_CPI
IL06.1	6.1	0.398991867	0.255312169	126.9985633	1.56276087	0.120597334	iso_CPI
IL06.2	6.2	0.580972973	0.255312169	126.9985633	2.27553969	0.024548928	iso_CPI
IL06.2.2	6.2.2	0.950848122	0.255312169	126.9985633	3.724256965	0.000293348	iso_CPI
IL06.3	6.3	0.295712565	0.255312169	126.9985633	1.158239212	0.248939891	iso_CPI
IL06.4	6.4	0.273694638	0.255312169	126.9985633	1.071999972	0.285752939	iso_CPI
IL07.2	7.2	0.420608103	0.255312169	126.9985633	1.647426776	0.101942455	iso_CPI
IL07.3	7.3	0.2216385	0.255312169	126.9985633	0.868107859	0.386972756	iso_CPI
IL07.4	7.4	0.712996393	0.255312169	126.9985633	2.792645558	0.006037119	iso_CPI
IL07.4.1	7.4.1	-0.009687237	0.285878254	127.0110897	-0.033885883	0.973021346	iso_CPI
IL07.5	7.5	0.492215959	0.255312169	126.9985633	1.927898546	0.056100104	iso_CPI
IL07.5.5	7.5.5	0.398274492	0.255312169	126.9985633	1.559951077	0.121259976	iso_CPI
IL08.1	8.1	0.273154473	0.255312169	126.9985633	1.069884269	0.286700606	iso_CPI
IL08.1.1	8.1.1	0.120018702	0.255312169	126.9985633	0.470086103	0.639099741	iso_CPI
IL08.1.3	8.1.3	-0.392062535	0.362410278	127.028947	-1.081819582	0.281382108	iso_CPI
IL08.2.1	8.2.1	0.083593112	0.255312169	126.9985633	0.327415306	0.743892879	iso_CPI
IL08.3	8.3	0.505550586	0.255312169	126.9985633	1.980127266	0.049851083	iso_CPI
IL08.3.1	8.3.1	0.384168393	0.255312169	126.9985633	1.504700679	0.134884025	iso_CPI
IL09.1	9.1	0.225594148	0.255312169	126.9985633	0.883601236	0.378581144	iso_CPI
IL09.1.2	9.1.2	0.29238633	0.255312169	126.9985633	1.145211104	0.254275275	iso_CPI
