il	anteiso_ACL	anteiso_CPI	eps13C_i.C31	eps13C_i.C33	eps13C_n.C31	eps13C_n.C33	iso_ACL	iso_CPI	mindex	i31.n31	i33.n33	nalk_ACL	nalk_CPI	pct_iso	pct_anteiso	Sum_Alk.area
ilIL_6.4	-0.133333333	0.013333333	0.015904266	0.124572425	0.012201638	-1.133333333	-0.001757983	0.273694638	0.055841956	-0.4	0.047940184	-0.000350908	-0.073763576	0.115288776	0.334096313	-0.484137672
IL7.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ilIL_7.2	-1.13E-12	-0.016666667	0.010815759	0.10037726	0.013568745	-1.2	-0.001406585	0.420608103	-0.000538362	0.266666667	0.161475041	3.72E-15	0.013073105	0.115424597	-0.209661895	-0.748473309
ilIL_7.3	0.033333333	0.02	0.010125404	0.130954617	0.014227644	-1.266666667	5.68E-14	0.2216385	-0.015470054	0.333333333	0.092009919	0.000351029	0.009672898	-0.02450118	-0.143168135	0.100834878
ilIL_7.4	-1.13E-12	-0.08	0.015883787	0.213832472	0.013206386	-1.266666667	-0.00140646	0.712996393	0.067611304	-0.266666667	-0.246404895	0.000351029	0.045970534	0.159861656	0.395047732	-1.108153767
ilIL_7.4.1	-0.076816345	-0.004933049	0.014020627	0.178215391	0.013980834	-1.482097713	-0.000436026	-0.009687237	-5.75E-05	-0.080753452	-0.003495676	0.000349666	0.024603106	-0.15986363	0.142425639	-0.656151519
ilIL_7.5	-1.13E-12	-0.03	0.01351204	0.186851814	0.017285109	-1.4	5.68E-14	0.492215959	0.007799047	0.366666667	-0.089349018	0.000702181	0.113248076	0.082377196	-0.006474952	-0.335375687
ilIL_7.5.5	0.066666667	0.03	0.005288452	0.131352328	0.013062014	-1.008550183	0.000703667	0.398274492	-0.034782711	0.675912957	-0.003495676	0.00105321	0.12556407	-0.04154958	-0.342300715	-0.358976253
ilIL_8.1	-1.13E-12	-0.013333333	0.011821173	0.146587847	0.016266049	-1.866666667	0.000351896	0.273154473	-0.046591001	0.433333333	0.256577502	0.000702181	0.129055311	-0.28041023	-0.241648772	-0.445619023
ilIL_8.1.1	-0.1	0.01	0.010464363	0.077547211	0.018645381	-1.7	-0.000351771	0.120018702	0.012714941	0.766666667	0.373165338	3.72E-15	-0.028864356	-0.056426382	0.144625551	-0.666777439
