trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
eps13C_i.C33	anteiso_CPI	14.eps13C_i.C33	09.anteiso_CPI	0.327649117	0.517340712	NA	NA
anteiso_CPI	eps13C_i.C33	09.anteiso_CPI	14.eps13C_i.C33	0.327649117	0.517340712	NA	NA
pct_anteiso.alkanes	eps13C_i.C33	03.pct_anteiso.alkanes	14.eps13C_i.C33	0.341687517	0.522716251	NA	NA
pct_anteiso.alkanes	eps13C_n.C31	03.pct_anteiso.alkanes	11.eps13C_n.C31	0.344581328	0.522716251	NA	NA
Sum_Alk.area	eps13C_n.C31	10.Sum_Alk.area	11.eps13C_n.C31	0.35283347	0.522716251	NA	NA
Sum_Alk.area	eps13C_n.C33	10.Sum_Alk.area	12.eps13C_n.C33	0.337993399	0.522716251	NA	NA
pct_iso.alkanes	n33.i33	02.pct_iso.alkanes	16.n33.i33	0.351036534	0.522716251	NA	NA
eps13C_i.C33	pct_anteiso.alkanes	14.eps13C_i.C33	03.pct_anteiso.alkanes	0.341687517	0.522716251	NA	NA
eps13C_n.C31	pct_anteiso.alkanes	11.eps13C_n.C31	03.pct_anteiso.alkanes	0.344581328	0.522716251	NA	NA
n33.i33	pct_iso.alkanes	16.n33.i33	02.pct_iso.alkanes	0.351036534	0.522716251	NA	NA
eps13C_n.C33	Sum_Alk.area	12.eps13C_n.C33	10.Sum_Alk.area	0.337993399	0.522716251	NA	NA
eps13C_n.C31	Sum_Alk.area	11.eps13C_n.C31	10.Sum_Alk.area	0.35283347	0.522716251	NA	NA
iso_CPI	eps13C_i.C31	08.iso_CPI	13.eps13C_i.C31	0.393216806	0.56726623	NA	NA
pct_anteiso.alkanes	eps13C_i.C31	03.pct_anteiso.alkanes	13.eps13C_i.C31	0.397086361	0.56726623	NA	NA
n.alkane_ACL	eps13C_n.C33	06.n.alkane_ACL	12.eps13C_n.C33	0.395626317	0.56726623	NA	NA
eps13C_i.C31	iso_CPI	13.eps13C_i.C31	08.iso_CPI	0.393216806	0.56726623	NA	NA
eps13C_n.C33	n.alkane_ACL	12.eps13C_n.C33	06.n.alkane_ACL	0.395626317	0.56726623	NA	NA
eps13C_i.C31	pct_anteiso.alkanes	13.eps13C_i.C31	03.pct_anteiso.alkanes	0.397086361	0.56726623	NA	NA
eps13C_i.C31	anteiso_CPI	13.eps13C_i.C31	09.anteiso_CPI	0.475954757	0.625927977	NA	NA
anteiso_CPI	eps13C_i.C31	09.anteiso_CPI	13.eps13C_i.C31	0.475954757	0.625927977	NA	NA
n.alkane_ACL	eps13C_i.C31	06.n.alkane_ACL	13.eps13C_i.C31	0.459158222	0.625927977	NA	NA
n.alkane_CPI	eps13C_i.C33	01.n.alkane_CPI	14.eps13C_i.C33	0.479878116	0.625927977	NA	NA
n.alkane_ACL	eps13C_i.C33	06.n.alkane_ACL	14.eps13C_i.C33	0.450352128	0.625927977	NA	NA
Methyl_Index	eps13C_n.C33	04.Methyl_Index	12.eps13C_n.C33	0.457491361	0.625927977	NA	NA
n31.i31	iso_ACL	15.n31.i31	07.iso_ACL	0.466362509	0.625927977	NA	NA
eps13C_n.C33	Methyl_Index	12.eps13C_n.C33	04.Methyl_Index	0.457491361	0.625927977	NA	NA
n33.i33	n.alkane_ACL	16.n33.i33	06.n.alkane_ACL	0.477278259	0.625927977	NA	NA
eps13C_i.C31	n.alkane_ACL	13.eps13C_i.C31	06.n.alkane_ACL	0.459158222	0.625927977	NA	NA
eps13C_i.C33	n.alkane_ACL	14.eps13C_i.C33	06.n.alkane_ACL	0.450352128	0.625927977	NA	NA
eps13C_i.C33	n.alkane_CPI	14.eps13C_i.C33	01.n.alkane_CPI	0.479878116	0.625927977	NA	NA
iso_ACL	n31.i31	07.iso_ACL	15.n31.i31	0.466362509	0.625927977	NA	NA
Sum_Alk.area	n33.i33	10.Sum_Alk.area	16.n33.i33	0.473881325	0.625927977	NA	NA
n.alkane_ACL	n33.i33	06.n.alkane_ACL	16.n33.i33	0.477278259	0.625927977	NA	NA
n33.i33	Sum_Alk.area	16.n33.i33	10.Sum_Alk.area	0.473881325	0.625927977	NA	NA
n.alkane_ACL	eps13C_n.C31	06.n.alkane_ACL	11.eps13C_n.C31	0.488536647	0.630369868	NA	NA
eps13C_n.C31	n.alkane_ACL	11.eps13C_n.C31	06.n.alkane_ACL	0.488536647	0.630369868	NA	NA
pct_anteiso.alkanes	eps13C_n.C33	03.pct_anteiso.alkanes	12.eps13C_n.C33	0.517077661	0.660099142	NA	NA
eps13C_n.C33	pct_anteiso.alkanes	12.eps13C_n.C33	03.pct_anteiso.alkanes	0.517077661	0.660099142	NA	NA
iso_CPI	eps13C_i.C33	08.iso_CPI	14.eps13C_i.C33	0.534903244	0.675667255	NA	NA
eps13C_i.C33	iso_CPI	14.eps13C_i.C33	08.iso_CPI	0.534903244	0.675667255	NA	NA
iso_CPI	eps13C_n.C31	08.iso_CPI	11.eps13C_n.C31	0.564192752	0.70524094	NA	NA
eps13C_n.C31	iso_CPI	11.eps13C_n.C31	08.iso_CPI	0.564192752	0.70524094	NA	NA
pct_anteiso.alkanes	n33.i33	03.pct_anteiso.alkanes	16.n33.i33	0.577198225	0.71405966	NA	NA
n33.i33	pct_anteiso.alkanes	16.n33.i33	03.pct_anteiso.alkanes	0.577198225	0.71405966	NA	NA
n33.i33	iso_CPI	16.n33.i33	08.iso_CPI	0.602141454	0.737316067	NA	NA
iso_CPI	n33.i33	08.iso_CPI	16.n33.i33	0.602141454	0.737316067	NA	NA
Sum_Alk.area	eps13C_i.C31	10.Sum_Alk.area	13.eps13C_i.C31	0.609460881	0.738740462	NA	NA
eps13C_i.C31	Sum_Alk.area	13.eps13C_i.C31	10.Sum_Alk.area	0.609460881	0.738740462	NA	NA
n33.i33	iso_ACL	16.n33.i33	07.iso_ACL	0.6340166	0.753287049	NA	NA
iso_ACL	n33.i33	07.iso_ACL	16.n33.i33	0.6340166	0.753287049	NA	NA
anteiso_ACL	Sum_Alk.area	05.anteiso_ACL	10.Sum_Alk.area	0.630677997	0.753287049	NA	NA
Sum_Alk.area	anteiso_ACL	10.Sum_Alk.area	05.anteiso_ACL	0.630677997	0.753287049	NA	NA
Sum_Alk.area	eps13C_i.C33	10.Sum_Alk.area	14.eps13C_i.C33	0.661088611	0.770200324	NA	NA
