trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
anteiso_ACL	iso_ACL	01.anteiso_ACL	03.iso_ACL	1.57E-11	7.83E-11	7.83E-11	less_than_05
pct_anteiso.alkanes	n.alkane_CPI	06.pct_anteiso.alkanes	04.n.alkane_CPI	1.83E-11	8.74E-11	8.74E-11	less_than_05
n.alkane_CPI	pct_anteiso.alkanes	04.n.alkane_CPI	06.pct_anteiso.alkanes	1.83E-11	8.74E-11	8.74E-11	less_than_05
pct_iso.alkanes	pct_anteiso.alkanes	05.pct_iso.alkanes	06.pct_anteiso.alkanes	2.68E-11	1.22E-10	1.22E-10	less_than_05
pct_anteiso.alkanes	pct_iso.alkanes	06.pct_anteiso.alkanes	05.pct_iso.alkanes	2.68E-11	1.22E-10	1.22E-10	less_than_05
iso_ACL	anteiso_CPI	03.iso_ACL	08.anteiso_CPI	1.88E-08	8.22E-08	8.22E-08	less_than_05
anteiso_CPI	iso_ACL	08.anteiso_CPI	03.iso_ACL	1.88E-08	8.22E-08	8.22E-08	less_than_05
pct_iso.alkanes	iso_ACL	05.pct_iso.alkanes	03.iso_ACL	3.13E-08	1.31E-07	1.31E-07	less_than_05
iso_ACL	pct_iso.alkanes	03.iso_ACL	05.pct_iso.alkanes	3.13E-08	1.31E-07	1.31E-07	less_than_05
iso_CPI	iso_ACL	09.iso_CPI	03.iso_ACL	3.87E-08	1.56E-07	1.56E-07	less_than_05
iso_ACL	iso_CPI	03.iso_ACL	09.iso_CPI	3.87E-08	1.56E-07	1.56E-07	less_than_05
Methyl_Index	iso_CPI	07.Methyl_Index	09.iso_CPI	8.96E-08	3.48E-07	3.48E-07	less_than_05
iso_CPI	Methyl_Index	09.iso_CPI	07.Methyl_Index	8.96E-08	3.48E-07	3.48E-07	less_than_05
pct_anteiso.alkanes	anteiso_ACL	06.pct_anteiso.alkanes	01.anteiso_ACL	1.43E-07	5.36E-07	5.36E-07	less_than_05
anteiso_ACL	pct_anteiso.alkanes	01.anteiso_ACL	06.pct_anteiso.alkanes	1.43E-07	5.36E-07	5.36E-07	less_than_05
n.alkane_ACL	iso_CPI	02.n.alkane_ACL	09.iso_CPI	9.25E-07	3.35E-06	3.35E-06	less_than_05
iso_CPI	n.alkane_ACL	09.iso_CPI	02.n.alkane_ACL	9.25E-07	3.35E-06	3.35E-06	less_than_05
iso_CPI	anteiso_CPI	09.iso_CPI	08.anteiso_CPI	2.95E-06	1.03E-05	1.03E-05	less_than_05
anteiso_CPI	iso_CPI	08.anteiso_CPI	09.iso_CPI	2.95E-06	1.03E-05	1.03E-05	less_than_05
anteiso_ACL	Methyl_Index	01.anteiso_ACL	07.Methyl_Index	3.59E-06	1.22E-05	1.22E-05	less_than_05
Methyl_Index	anteiso_ACL	07.Methyl_Index	01.anteiso_ACL	3.59E-06	1.22E-05	1.22E-05	less_than_05
n33.i33	eps13C_n.C33	15.n33.i33	11.eps13C_n.C33	4.97E-06	1.63E-05	1.63E-05	less_than_05
eps13C_n.C33	n33.i33	11.eps13C_n.C33	15.n33.i33	4.97E-06	1.63E-05	1.63E-05	less_than_05
n33.i33	eps13C_n.C31	15.n33.i33	10.eps13C_n.C31	2.78E-05	8.84E-05	8.84E-05	less_than_05
eps13C_n.C31	n33.i33	10.eps13C_n.C31	15.n33.i33	2.78E-05	8.84E-05	8.84E-05	less_than_05
n.alkane_ACL	Methyl_Index	02.n.alkane_ACL	07.Methyl_Index	5.06E-05	0.000156122	0.000156122	less_than_05
Methyl_Index	n.alkane_ACL	07.Methyl_Index	02.n.alkane_ACL	5.06E-05	0.000156122	0.000156122	less_than_05
pct_anteiso.alkanes	n.alkane_ACL	06.pct_anteiso.alkanes	02.n.alkane_ACL	8.62E-05	0.000258514	0.000258514	less_than_05
n.alkane_ACL	pct_anteiso.alkanes	02.n.alkane_ACL	06.pct_anteiso.alkanes	8.62E-05	0.000258514	0.000258514	less_than_05
n31.i31	eps13C_i.C33	14.n31.i31	13.eps13C_i.C33	0.000149127	0.000434955	0.000434955	less_than_05
eps13C_i.C33	n31.i31	13.eps13C_i.C33	14.n31.i31	0.000149127	0.000434955	0.000434955	less_than_05
pct_iso.alkanes	anteiso_CPI	05.pct_iso.alkanes	08.anteiso_CPI	0.00029889	0.000848202	0.000848202	less_than_05
anteiso_CPI	pct_iso.alkanes	08.anteiso_CPI	05.pct_iso.alkanes	0.00029889	0.000848202	0.000848202	less_than_05
n31.i31	eps13C_i.C31	14.n31.i31	12.eps13C_i.C31	0.001955911	0.005404491	0.005404491	less_than_05
eps13C_i.C31	n31.i31	12.eps13C_i.C31	14.n31.i31	0.001955911	0.005404491	0.005404491	less_than_05
n.alkane_CPI	anteiso_ACL	04.n.alkane_CPI	01.anteiso_ACL	0.002873726	0.007736954	0.007736954	less_than_05
anteiso_ACL	n.alkane_CPI	01.anteiso_ACL	04.n.alkane_CPI	0.002873726	0.007736954	0.007736954	less_than_05
pct_iso.alkanes	n.alkane_ACL	05.pct_iso.alkanes	02.n.alkane_ACL	0.003436963	0.009022028	0.009022028	less_than_05
n.alkane_ACL	pct_iso.alkanes	02.n.alkane_ACL	05.pct_iso.alkanes	0.003436963	0.009022028	0.009022028	less_than_05
pct_anteiso.alkanes	iso_CPI	06.pct_anteiso.alkanes	09.iso_CPI	0.004280356	0.010961888	0.010961888	less_than_05
iso_CPI	pct_anteiso.alkanes	09.iso_CPI	06.pct_anteiso.alkanes	0.004280356	0.010961888	0.010961888	less_than_05
n.alkane_ACL	anteiso_CPI	02.n.alkane_ACL	08.anteiso_CPI	0.004938998	0.012347495	0.012347495	less_than_05
anteiso_CPI	n.alkane_ACL	08.anteiso_CPI	02.n.alkane_ACL	0.004938998	0.012347495	0.012347495	less_than_05
n.alkane_CPI	anteiso_CPI	04.n.alkane_CPI	08.anteiso_CPI	0.007717156	0.018844217	0.018844217	less_than_05
anteiso_CPI	n.alkane_CPI	08.anteiso_CPI	04.n.alkane_CPI	0.007717156	0.018844217	0.018844217	less_than_05
pct_iso.alkanes	anteiso_ACL	05.pct_iso.alkanes	01.anteiso_ACL	0.009247813	0.022068644	0.022068644	less_than_05
anteiso_ACL	pct_iso.alkanes	01.anteiso_ACL	05.pct_iso.alkanes	0.009247813	0.022068644	0.022068644	less_than_05
n31.i31	anteiso_CPI	14.n31.i31	08.anteiso_CPI	0.03744939	0.08738191	0.08738191	less_than_05
anteiso_CPI	n31.i31	08.anteiso_CPI	14.n31.i31	0.03744939	0.08738191	0.08738191	less_than_05
iso_CPI	anteiso_ACL	09.iso_CPI	01.anteiso_ACL	0.038500876	0.087882434	0.087882434	less_than_05
anteiso_ACL	iso_CPI	01.anteiso_ACL	09.iso_CPI	0.038500876	0.087882434	0.087882434	less_than_05
n.alkane_CPI	iso_ACL	04.n.alkane_CPI	03.iso_ACL	0.041830067	0.093450149	0.093450149	less_than_05
iso_ACL	n.alkane_CPI	03.iso_ACL	04.n.alkane_CPI	0.041830067	0.093450149	0.093450149	less_than_05
pct_iso.alkanes	eps13C_i.C31	05.pct_iso.alkanes	12.eps13C_i.C31	0.052568427	0.114993433	0.114993433	less_than_05
eps13C_i.C31	pct_iso.alkanes	12.eps13C_i.C31	05.pct_iso.alkanes	0.052568427	0.114993433	0.114993433	less_than_05
pct_iso.alkanes	eps13C_i.C33	05.pct_iso.alkanes	13.eps13C_i.C33	0.064573059	0.138370841	0.138370841	less_than_05
eps13C_i.C33	pct_iso.alkanes	13.eps13C_i.C33	05.pct_iso.alkanes	0.064573059	0.138370841	0.138370841	less_than_05
pct_iso.alkanes	eps13C_n.C31	05.pct_iso.alkanes	10.eps13C_n.C31	0.081944212	0.172082844	0.172082844	less_than_05
eps13C_n.C31	pct_iso.alkanes	10.eps13C_n.C31	05.pct_iso.alkanes	0.081944212	0.172082844	0.172082844	less_than_05
n33.i33	eps13C_i.C31	15.n33.i33	12.eps13C_i.C31	0.104035839	0.214191434	0.214191434	less_than_05
eps13C_i.C31	n33.i33	12.eps13C_i.C31	15.n33.i33	0.104035839	0.214191434	0.214191434	less_than_05
pct_iso.alkanes	eps13C_n.C33	05.pct_iso.alkanes	11.eps13C_n.C33	0.121528537	0.241459897	0.241459897	less_than_05
n33.i33	n.alkane_CPI	15.n33.i33	04.n.alkane_CPI	0.121879758	0.241459897	0.241459897	less_than_05
n.alkane_CPI	n33.i33	04.n.alkane_CPI	15.n33.i33	0.121879758	0.241459897	0.241459897	less_than_05
eps13C_n.C33	pct_iso.alkanes	11.eps13C_n.C33	05.pct_iso.alkanes	0.121528537	0.241459897	0.241459897	less_than_05
n.alkane_CPI	n.alkane_ACL	04.n.alkane_CPI	02.n.alkane_ACL	0.127219014	0.247370305	0.247370305	less_than_05
n.alkane_ACL	n.alkane_CPI	02.n.alkane_ACL	04.n.alkane_CPI	0.127219014	0.247370305	0.247370305	less_than_05
eps13C_n.C31	anteiso_CPI	10.eps13C_n.C31	08.anteiso_CPI	0.177889511	0.339607248	0.339607248	less_than_05
anteiso_CPI	eps13C_n.C31	08.anteiso_CPI	10.eps13C_n.C31	0.177889511	0.339607248	0.339607248	less_than_05
anteiso_CPI	anteiso_ACL	08.anteiso_CPI	01.anteiso_ACL	0.208798823	0.372552603	0.372552603	less_than_05
anteiso_ACL	anteiso_CPI	01.anteiso_ACL	08.anteiso_CPI	0.208798823	0.372552603	0.372552603	less_than_05
eps13C_n.C33	anteiso_CPI	11.eps13C_n.C33	08.anteiso_CPI	0.204228236	0.372552603	0.372552603	less_than_05
n.alkane_CPI	eps13C_i.C31	04.n.alkane_CPI	12.eps13C_i.C31	0.204950153	0.372552603	0.372552603	less_than_05
n.alkane_CPI	eps13C_n.C31	04.n.alkane_CPI	10.eps13C_n.C31	0.209339082	0.372552603	0.372552603	less_than_05
anteiso_CPI	eps13C_n.C33	08.anteiso_CPI	11.eps13C_n.C33	0.204228236	0.372552603	0.372552603	less_than_05
eps13C_n.C31	n.alkane_CPI	10.eps13C_n.C31	04.n.alkane_CPI	0.209339082	0.372552603	0.372552603	less_than_05
eps13C_i.C31	n.alkane_CPI	12.eps13C_i.C31	04.n.alkane_CPI	0.204950153	0.372552603	0.372552603	less_than_05
n.alkane_CPI	iso_CPI	04.n.alkane_CPI	09.iso_CPI	0.22314051	0.390495892	0.390495892	less_than_05
iso_CPI	n.alkane_CPI	09.iso_CPI	04.n.alkane_CPI	0.22314051	0.390495892	0.390495892	less_than_05
n31.i31	n.alkane_CPI	14.n31.i31	04.n.alkane_CPI	0.275217045	0.473734258	0.473734258	less_than_05
n.alkane_CPI	n31.i31	04.n.alkane_CPI	14.n31.i31	0.275217045	0.473734258	0.473734258	less_than_05
n33.i33	anteiso_CPI	15.n33.i33	08.anteiso_CPI	0.302043053	0.491834328	0.491834328	less_than_05
Methyl_Index	eps13C_i.C31	07.Methyl_Index	12.eps13C_i.C31	0.294262993	0.491834328	0.491834328	less_than_05
Methyl_Index	eps13C_n.C31	07.Methyl_Index	10.eps13C_n.C31	0.301005523	0.491834328	0.491834328	less_than_05
n.alkane_CPI	eps13C_n.C33	04.n.alkane_CPI	11.eps13C_n.C33	0.30446887	0.491834328	0.491834328	less_than_05
eps13C_i.C31	Methyl_Index	12.eps13C_i.C31	07.Methyl_Index	0.294262993	0.491834328	0.491834328	less_than_05
eps13C_n.C31	Methyl_Index	10.eps13C_n.C31	07.Methyl_Index	0.301005523	0.491834328	0.491834328	less_than_05
eps13C_n.C33	n.alkane_CPI	11.eps13C_n.C33	04.n.alkane_CPI	0.30446887	0.491834328	0.491834328	less_than_05
anteiso_CPI	n33.i33	08.anteiso_CPI	15.n33.i33	0.302043053	0.491834328	0.491834328	less_than_05
Methyl_Index	eps13C_i.C33	07.Methyl_Index	13.eps13C_i.C33	0.313084663	0.498089237	0.498089237	less_than_05
eps13C_i.C33	Methyl_Index	13.eps13C_i.C33	07.Methyl_Index	0.313084663	0.498089237	0.498089237	less_than_05
eps13C_i.C33	anteiso_CPI	13.eps13C_i.C33	08.anteiso_CPI	0.327649117	0.51347996	NA	NA
anteiso_CPI	eps13C_i.C33	08.anteiso_CPI	13.eps13C_i.C33	0.327649117	0.51347996	NA	NA
pct_anteiso.alkanes	eps13C_i.C33	06.pct_anteiso.alkanes	13.eps13C_i.C33	0.341687517	0.524362891	NA	NA
pct_anteiso.alkanes	eps13C_n.C31	06.pct_anteiso.alkanes	10.eps13C_n.C31	0.344581328	0.524362891	NA	NA
eps13C_n.C31	pct_anteiso.alkanes	10.eps13C_n.C31	06.pct_anteiso.alkanes	0.344581328	0.524362891	NA	NA
eps13C_i.C33	pct_anteiso.alkanes	13.eps13C_i.C33	06.pct_anteiso.alkanes	0.341687517	0.524362891	NA	NA
pct_iso.alkanes	n33.i33	05.pct_iso.alkanes	15.n33.i33	0.351036534	0.526554801	NA	NA
n33.i33	pct_iso.alkanes	15.n33.i33	05.pct_iso.alkanes	0.351036534	0.526554801	NA	NA
iso_CPI	eps13C_i.C31	09.iso_CPI	12.eps13C_i.C31	0.393216806	0.571151615	NA	NA
pct_anteiso.alkanes	eps13C_i.C31	06.pct_anteiso.alkanes	12.eps13C_i.C31	0.397086361	0.571151615	NA	NA
n.alkane_ACL	eps13C_n.C33	02.n.alkane_ACL	11.eps13C_n.C33	0.395626317	0.571151615	NA	NA
eps13C_i.C31	iso_CPI	12.eps13C_i.C31	09.iso_CPI	0.393216806	0.571151615	NA	NA
eps13C_n.C33	n.alkane_ACL	11.eps13C_n.C33	02.n.alkane_ACL	0.395626317	0.571151615	NA	NA
eps13C_i.C31	pct_anteiso.alkanes	12.eps13C_i.C31	06.pct_anteiso.alkanes	0.397086361	0.571151615	NA	NA
eps13C_i.C31	anteiso_CPI	12.eps13C_i.C31	08.anteiso_CPI	0.475954757	0.629840027	NA	NA
anteiso_CPI	eps13C_i.C31	08.anteiso_CPI	12.eps13C_i.C31	0.475954757	0.629840027	NA	NA
n.alkane_ACL	eps13C_i.C31	02.n.alkane_ACL	12.eps13C_i.C31	0.459158222	0.629840027	NA	NA
n.alkane_ACL	eps13C_i.C33	02.n.alkane_ACL	13.eps13C_i.C33	0.450352128	0.629840027	NA	NA
n.alkane_CPI	eps13C_i.C33	04.n.alkane_CPI	13.eps13C_i.C33	0.479878116	0.629840027	NA	NA
Methyl_Index	eps13C_n.C33	07.Methyl_Index	11.eps13C_n.C33	0.457491361	0.629840027	NA	NA
n31.i31	iso_ACL	14.n31.i31	03.iso_ACL	0.466362509	0.629840027	NA	NA
eps13C_n.C33	Methyl_Index	11.eps13C_n.C33	07.Methyl_Index	0.457491361	0.629840027	NA	NA
eps13C_i.C31	n.alkane_ACL	12.eps13C_i.C31	02.n.alkane_ACL	0.459158222	0.629840027	NA	NA
n33.i33	n.alkane_ACL	15.n33.i33	02.n.alkane_ACL	0.477278259	0.629840027	NA	NA
eps13C_i.C33	n.alkane_ACL	13.eps13C_i.C33	02.n.alkane_ACL	0.450352128	0.629840027	NA	NA
eps13C_i.C33	n.alkane_CPI	13.eps13C_i.C33	04.n.alkane_CPI	0.479878116	0.629840027	NA	NA
iso_ACL	n31.i31	03.iso_ACL	14.n31.i31	0.466362509	0.629840027	NA	NA
n.alkane_ACL	n33.i33	02.n.alkane_ACL	15.n33.i33	0.477278259	0.629840027	NA	NA
n.alkane_ACL	eps13C_n.C31	02.n.alkane_ACL	10.eps13C_n.C31	0.488536647	0.633288247	NA	NA
eps13C_n.C31	n.alkane_ACL	10.eps13C_n.C31	02.n.alkane_ACL	0.488536647	0.633288247	NA	NA
pct_anteiso.alkanes	eps13C_n.C33	06.pct_anteiso.alkanes	11.eps13C_n.C33	0.517077661	0.66211164	NA	NA
eps13C_n.C33	pct_anteiso.alkanes	11.eps13C_n.C33	06.pct_anteiso.alkanes	0.517077661	0.66211164	NA	NA
iso_CPI	eps13C_i.C33	09.iso_CPI	13.eps13C_i.C33	0.534903244	0.676684826	NA	NA
eps13C_i.C33	iso_CPI	13.eps13C_i.C33	09.iso_CPI	0.534903244	0.676684826	NA	NA
iso_CPI	eps13C_n.C31	09.iso_CPI	10.eps13C_n.C31	0.564192752	0.70524094	NA	NA
eps13C_n.C31	iso_CPI	10.eps13C_n.C31	09.iso_CPI	0.564192752	0.70524094	NA	NA
pct_anteiso.alkanes	n33.i33	06.pct_anteiso.alkanes	15.n33.i33	0.577198225	0.713009572	NA	NA
n33.i33	pct_anteiso.alkanes	15.n33.i33	06.pct_anteiso.alkanes	0.577198225	0.713009572	NA	NA
n33.i33	iso_CPI	15.n33.i33	09.iso_CPI	0.602141454	0.735172706	NA	NA
iso_CPI	n33.i33	09.iso_CPI	15.n33.i33	0.602141454	0.735172706	NA	NA
n33.i33	iso_ACL	15.n33.i33	03.iso_ACL	0.6340166	0.765192448	NA	NA
iso_ACL	n33.i33	03.iso_ACL	15.n33.i33	0.6340166	0.765192448	NA	NA
pct_anteiso.alkanes	n31.i31	06.pct_anteiso.alkanes	14.n31.i31	0.66099359	0.788685533	NA	NA
n31.i31	pct_anteiso.alkanes	14.n31.i31	06.pct_anteiso.alkanes	0.66099359	0.788685533	NA	NA
eps13C_i.C31	anteiso_ACL	12.eps13C_i.C31	01.anteiso_ACL	0.719995065	0.804249807	NA	NA
anteiso_ACL	eps13C_i.C31	01.anteiso_ACL	12.eps13C_i.C31	0.719995065	0.804249807	NA	NA
n33.i33	eps13C_i.C33	15.n33.i33	13.eps13C_i.C33	0.701538091	0.804249807	NA	NA
iso_ACL	eps13C_i.C33	03.iso_ACL	13.eps13C_i.C33	0.709971728	0.804249807	NA	NA
eps13C_i.C33	iso_ACL	13.eps13C_i.C33	03.iso_ACL	0.709971728	0.804249807	NA	NA
n31.i31	iso_CPI	14.n31.i31	09.iso_CPI	0.693632659	0.804249807	NA	NA
n31.i31	Methyl_Index	14.n31.i31	07.Methyl_Index	0.718501533	0.804249807	NA	NA
iso_CPI	n31.i31	09.iso_CPI	14.n31.i31	0.693632659	0.804249807	NA	NA
pct_iso.alkanes	n31.i31	05.pct_iso.alkanes	14.n31.i31	0.696361421	0.804249807	NA	NA
Methyl_Index	n31.i31	07.Methyl_Index	14.n31.i31	0.718501533	0.804249807	NA	NA
eps13C_i.C33	n33.i33	13.eps13C_i.C33	15.n33.i33	0.701538091	0.804249807	NA	NA
n31.i31	pct_iso.alkanes	14.n31.i31	05.pct_iso.alkanes	0.696361421	0.804249807	NA	NA
n33.i33	anteiso_ACL	15.n33.i33	01.anteiso_ACL	0.739510601	0.80883972	NA	NA
iso_ACL	eps13C_n.C31	03.iso_ACL	10.eps13C_n.C31	0.737564381	0.80883972	NA	NA
eps13C_n.C31	iso_ACL	10.eps13C_n.C31	03.iso_ACL	0.737564381	0.80883972	NA	NA
anteiso_ACL	n33.i33	01.anteiso_ACL	15.n33.i33	0.739510601	0.80883972	NA	NA
iso_ACL	eps13C_i.C31	03.iso_ACL	12.eps13C_i.C31	0.791762331	0.848316784	NA	NA
iso_CPI	eps13C_n.C33	09.iso_CPI	11.eps13C_n.C33	0.786639325	0.848316784	NA	NA
eps13C_i.C31	iso_ACL	12.eps13C_i.C31	03.iso_ACL	0.791762331	0.848316784	NA	NA
eps13C_n.C33	iso_CPI	11.eps13C_n.C33	09.iso_CPI	0.786639325	0.848316784	NA	NA
n31.i31	anteiso_ACL	14.n31.i31	01.anteiso_ACL	0.812257069	0.86148477	NA	NA
anteiso_ACL	n31.i31	01.anteiso_ACL	14.n31.i31	0.812257069	0.86148477	NA	NA
eps13C_i.C33	anteiso_ACL	13.eps13C_i.C33	01.anteiso_ACL	0.831222772	0.872783911	NA	NA
anteiso_ACL	eps13C_i.C33	01.anteiso_ACL	13.eps13C_i.C33	0.831222772	0.872783911	NA	NA
iso_ACL	eps13C_n.C33	03.iso_ACL	11.eps13C_n.C33	0.925910082	0.962579788	NA	NA
eps13C_n.C33	iso_ACL	11.eps13C_n.C33	03.iso_ACL	0.925910082	0.962579788	NA	NA
eps13C_n.C31	anteiso_ACL	10.eps13C_n.C31	01.anteiso_ACL	0.998784708	0.998784708	NA	NA
eps13C_n.C33	anteiso_ACL	11.eps13C_n.C33	01.anteiso_ACL	0.994976323	0.998784708	NA	NA
anteiso_ACL	eps13C_n.C31	01.anteiso_ACL	10.eps13C_n.C31	0.998784708	0.998784708	NA	NA
anteiso_ACL	eps13C_n.C33	01.anteiso_ACL	11.eps13C_n.C33	0.994976323	0.998784708	NA	NA
n33.i33	Methyl_Index	15.n33.i33	07.Methyl_Index	0.983431672	0.998784708	NA	NA
n31.i31	n.alkane_ACL	14.n31.i31	02.n.alkane_ACL	0.973417905	0.998784708	NA	NA
n.alkane_ACL	n31.i31	02.n.alkane_ACL	14.n31.i31	0.973417905	0.998784708	NA	NA
Methyl_Index	n33.i33	07.Methyl_Index	15.n33.i33	0.983431672	0.998784708	NA	NA
anteiso_ACL	anteiso_ACL	01.anteiso_ACL	01.anteiso_ACL	NA	NA	NA	NA
anteiso_CPI	anteiso_CPI	08.anteiso_CPI	08.anteiso_CPI	NA	NA	NA	NA
eps13C_i.C31	eps13C_i.C31	12.eps13C_i.C31	12.eps13C_i.C31	NA	NA	NA	NA
eps13C_i.C33	eps13C_i.C33	13.eps13C_i.C33	13.eps13C_i.C33	NA	NA	NA	NA
eps13C_n.C31	eps13C_n.C31	10.eps13C_n.C31	10.eps13C_n.C31	NA	NA	NA	NA
eps13C_n.C33	eps13C_n.C33	11.eps13C_n.C33	11.eps13C_n.C33	NA	NA	NA	NA
iso_ACL	iso_ACL	03.iso_ACL	03.iso_ACL	NA	NA	NA	NA
iso_CPI	iso_CPI	09.iso_CPI	09.iso_CPI	NA	NA	NA	NA
Methyl_Index	Methyl_Index	07.Methyl_Index	07.Methyl_Index	NA	NA	NA	NA
n.alkane_ACL	n.alkane_ACL	02.n.alkane_ACL	02.n.alkane_ACL	NA	NA	NA	NA
n.alkane_CPI	n.alkane_CPI	04.n.alkane_CPI	04.n.alkane_CPI	NA	NA	NA	NA
n31.i31	n31.i31	14.n31.i31	14.n31.i31	NA	NA	NA	NA
n33.i33	n33.i33	15.n33.i33	15.n33.i33	NA	NA	NA	NA
pct_anteiso.alkanes	pct_anteiso.alkanes	06.pct_anteiso.alkanes	06.pct_anteiso.alkanes	NA	NA	NA	NA
pct_iso.alkanes	pct_iso.alkanes	05.pct_iso.alkanes	05.pct_iso.alkanes	NA	NA	NA	NA
