trait1	trait2	r.value	ord.trait1	ord.trait2
n33.i33	iso_CPI	-0.037856996	16.n33.i33	08.iso_CPI
Methyl_Index	iso_CPI	0.365368932	04.Methyl_Index	08.iso_CPI
n31.i31	iso_CPI	0.028460728	15.n31.i31	08.iso_CPI
Sum_Alk.area	iso_CPI	0.193893477	10.Sum_Alk.area	08.iso_CPI
eps13C_i.C31	iso_CPI	0.061639167	13.eps13C_i.C31	08.iso_CPI
iso_CPI	iso_CPI	1	08.iso_CPI	08.iso_CPI
anteiso_CPI	iso_CPI	-0.322074175	09.anteiso_CPI	08.iso_CPI
eps13C_n.C31	iso_CPI	0.041650463	11.eps13C_n.C31	08.iso_CPI
eps13C_n.C33	iso_CPI	0.019558024	12.eps13C_n.C33	08.iso_CPI
n.alkane_ACL	iso_CPI	-0.337181509	06.n.alkane_ACL	08.iso_CPI
pct_anteiso.alkanes	iso_CPI	0.200201973	03.pct_anteiso.alkanes	08.iso_CPI
anteiso_ACL	iso_CPI	-0.145734355	05.anteiso_ACL	08.iso_CPI
eps13C_i.C33	iso_CPI	0.045054976	14.eps13C_i.C33	08.iso_CPI
iso_ACL	iso_CPI	-0.374888182	07.iso_ACL	08.iso_CPI
pct_iso.alkanes	Methyl_Index	0.763479888	02.pct_iso.alkanes	04.Methyl_Index
n33.i33	Methyl_Index	-0.001508566	16.n33.i33	04.Methyl_Index
eps13C_n.C31	Methyl_Index	0.074635647	11.eps13C_n.C31	04.Methyl_Index
anteiso_ACL	Methyl_Index	-0.3194305	05.anteiso_ACL	04.Methyl_Index
Sum_Alk.area	Methyl_Index	-0.129550174	10.Sum_Alk.area	04.Methyl_Index
pct_anteiso.alkanes	Methyl_Index	0.892965376	03.pct_anteiso.alkanes	04.Methyl_Index
iso_CPI	Methyl_Index	0.365368932	08.iso_CPI	04.Methyl_Index
eps13C_n.C33	Methyl_Index	0.05365143	12.eps13C_n.C33	04.Methyl_Index
n.alkane_CPI	Methyl_Index	-0.509856582	01.n.alkane_CPI	04.Methyl_Index
eps13C_i.C33	Methyl_Index	0.073181957	14.eps13C_i.C33	04.Methyl_Index
n31.i31	Methyl_Index	-0.026043592	15.n31.i31	04.Methyl_Index
Methyl_Index	Methyl_Index	1	04.Methyl_Index	04.Methyl_Index
n.alkane_ACL	Methyl_Index	-0.281143248	06.n.alkane_ACL	04.Methyl_Index
anteiso_CPI	Methyl_Index	-0.456132501	09.anteiso_CPI	04.Methyl_Index
eps13C_i.C31	Methyl_Index	0.075681612	13.eps13C_i.C31	04.Methyl_Index
iso_ACL	Methyl_Index	-0.497034788	07.iso_ACL	04.Methyl_Index
pct_anteiso.alkanes	n.alkane_ACL	-0.272708923	03.pct_anteiso.alkanes	06.n.alkane_ACL
eps13C_n.C31	n.alkane_ACL	0.050020639	11.eps13C_n.C31	06.n.alkane_ACL
iso_ACL	n.alkane_ACL	0.698879838	07.iso_ACL	06.n.alkane_ACL
Methyl_Index	n.alkane_ACL	-0.281143248	04.Methyl_Index	06.n.alkane_ACL
Sum_Alk.area	n.alkane_ACL	-0.253223181	10.Sum_Alk.area	06.n.alkane_ACL
eps13C_n.C33	n.alkane_ACL	0.061326444	12.eps13C_n.C33	06.n.alkane_ACL
n33.i33	n.alkane_ACL	0.051592138	16.n33.i33	06.n.alkane_ACL
anteiso_CPI	n.alkane_ACL	0.197060078	09.anteiso_CPI	06.n.alkane_ACL
n.alkane_CPI	n.alkane_ACL	0.107665919	01.n.alkane_CPI	06.n.alkane_ACL
eps13C_i.C31	n.alkane_ACL	0.05345311	13.eps13C_i.C31	06.n.alkane_ACL
eps13C_i.C33	n.alkane_ACL	0.054791879	14.eps13C_i.C33	06.n.alkane_ACL
n31.i31	n.alkane_ACL	-0.002407929	15.n31.i31	06.n.alkane_ACL
n.alkane_ACL	n.alkane_ACL	1	06.n.alkane_ACL	06.n.alkane_ACL
iso_CPI	n.alkane_ACL	-0.337181509	08.iso_CPI	06.n.alkane_ACL
anteiso_ACL	n.alkane_ACL	0.462109327	05.anteiso_ACL	06.n.alkane_ACL
pct_iso.alkanes	n.alkane_ACL	-0.204933107	02.pct_iso.alkanes	06.n.alkane_ACL
anteiso_CPI	n.alkane_CPI	0.186957002	09.anteiso_CPI	01.n.alkane_CPI
eps13C_n.C33	n.alkane_CPI	-0.074104398	12.eps13C_n.C33	01.n.alkane_CPI
eps13C_i.C33	n.alkane_CPI	-0.051288489	14.eps13C_i.C33	01.n.alkane_CPI
n.alkane_CPI	n.alkane_CPI	1	01.n.alkane_CPI	01.n.alkane_CPI
iso_CPI	n.alkane_CPI	-0.086088665	08.iso_CPI	01.n.alkane_CPI
n33.i33	n.alkane_CPI	0.112019986	16.n33.i33	01.n.alkane_CPI
pct_iso.alkanes	n.alkane_CPI	-0.479570955	02.pct_iso.alkanes	01.n.alkane_CPI
n31.i31	n.alkane_CPI	0.078725457	15.n31.i31	01.n.alkane_CPI
iso_ACL	n.alkane_CPI	0.143345863	07.iso_ACL	01.n.alkane_CPI
Methyl_Index	n.alkane_CPI	-0.509856582	04.Methyl_Index	01.n.alkane_CPI
eps13C_i.C31	n.alkane_CPI	-0.091406576	13.eps13C_i.C31	01.n.alkane_CPI
