il	pct_iso-alkanes	pct_anteiso-alkanes	Methyl_Index	n-alkane_CPI	n-alkane_ACL	anteiso_CPI	anteiso_ACL	iso_CPI	iso_ACL	eps13C_i.C31	eps13C_n.C31	eps13C_i.C33	eps13C_n.C33	n31-i31	n33-i33	Sum_Alk/area
IL_12.4	6.22	5.98	0.12	13.8	31.3	0.24	32.1	11.0	31.8	-18.0	-19.3	-17.3	-18.6	1.3	1.4	8.6
IL_12.4	5.66	6.57	0.12	13.4	31.4	0.23	32.1	10.1	31.8	-16.5	-18.6	-16.2	-18.0	2.1	1.8	7.8
IL_12.4	7.39	9.88	0.17	12.1	31.3	0.16	32.1	12.4	31.6	-20.2	-22.4	-20.2	-21.9	2.2	1.6	5.8
IL_12.4.1	6.82	5.22	0.12	12.6	31.4	0.31	32.1	12.3	31.9	-18.8	-20.9	-18.9	-20.5	2.1	1.6	3.2
IL_12.4.1	6.93	7.02	0.14	11.3	31.5	0.27	32.1	8.8	31.9	-20.3	-21.6	-20.7	-21.1	1.3	0.4	3.3
IL_12.4.1	8.30	6.82	0.15	12.0	31.4	0.24	32.1	14.6	31.8	NA	NA	NA	NA	NA	NA	4.4
IL_2.1	7.33	5.30	0.13	12.5	31.3	0.29	32.1	12.7	31.8	-20.0	-21.6	-20.7	-21.3	1.6	0.6	7.6
IL_2.1	7.58	5.53	0.13	12.2	31.3	0.21	32.1	11.7	31.8	-19.2	-21.5	-18.9	-21.1	2.3	2.3	2.3
IL_2.1	8.32	5.65	0.14	12.4	31.3	0.22	32.1	16.1	31.7	-17.3	-18.3	-17.0	-18.0	1.1	1.0	7.1
IL_2.1.1	6.54	6.73	0.13	12.9	31.4	0.10	32.0	15.6	31.8	-16.4	-18.0	-16.4	-17.6	1.6	1.3	0.2
IL_2.1.1	4.74	6.27	0.11	14.0	31.4	0.09	32.2	8.5	31.9	-18.4	-19.8	-15.7	-18.8	1.4	3.1	1.0
IL_2.1.1	7.49	7.96	0.15	12.1	31.3	0.09	32.1	14.5	31.7	-18.5	-20.2	-16.9	-19.6	1.6	2.6	8.7
IL_2.3	6.04	5.88	0.12	12.5	31.3	0.23	32.1	14.6	31.9	-18.2	-20.1	-17.5	-19.5	1.8	2.0	8.9
IL_2.3	7.25	7.03	0.14	13.1	31.5	0.19	32.1	9.9	31.8	-16.0	-17.8	-15.7	-17.4	1.8	1.8	1.7
IL_2.3	10.26	8.78	0.19	12.3	31.4	0.15	32.1	17.7	31.8	-16.9	-18.6	-17.1	-18.1	1.7	0.9	5.8
IL_2.4	5.63	4.42	0.10	14.0	31.4	0.33	32.1	13.6	31.9	-19.8	-21.1	-19.5	-20.5	1.3	1.0	7.8
