trait1	trait2	ord.trait1	ord.trait2	r.value
pct_iso	n31.i31	10.pct_iso	11.n31.i31	0.083057187
D_nC33	n33.i33	02.D_nC33	12.n33.i33	0.389454812
D_iC33	n33.i33	04.D_iC33	12.n33.i33	-0.038476072
anteiso_CPI	n33.i33	13.anteiso_CPI	12.n33.i33	0.163747638
pct_anteiso	n33.i33	15.pct_anteiso	12.n33.i33	-0.364196181
D_nC31	n33.i33	01.D_nC31	12.n33.i33	0.35128507
n31.i31	n33.i33	11.n31.i31	12.n33.i33	-0.696535647
iso_CPI	n33.i33	09.iso_CPI	12.n33.i33	-0.142793983
anteiso_ACL	n33.i33	05.anteiso_ACL	12.n33.i33	-0.129087627
pct_iso	n33.i33	10.pct_iso	12.n33.i33	-0.183424577
mindex	n33.i33	14.mindex	12.n33.i33	-0.395457476
n33.i33	n33.i33	12.n33.i33	12.n33.i33	1
iso_ACL	n33.i33	06.iso_ACL	12.n33.i33	0.220530808
D_iC31	n33.i33	03.D_iC31	12.n33.i33	0.073334455
nalk_ACL	n33.i33	07.nalk_ACL	12.n33.i33	0.099346273
nalk_CPI	n33.i33	08.nalk_CPI	12.n33.i33	-0.081502385
iso_ACL	nalk_ACL	06.iso_ACL	07.nalk_ACL	0.818992674
mindex	nalk_ACL	14.mindex	07.nalk_ACL	-0.249692991
n33.i33	nalk_ACL	12.n33.i33	07.nalk_ACL	0.099346273
iso_CPI	nalk_ACL	09.iso_CPI	07.nalk_ACL	-0.007520183
anteiso_ACL	nalk_ACL	05.anteiso_ACL	07.nalk_ACL	0.503867567
nalk_CPI	nalk_ACL	08.nalk_CPI	07.nalk_ACL	0.020979051
D_nC33	nalk_ACL	02.D_nC33	07.nalk_ACL	-0.034456827
D_iC33	nalk_ACL	04.D_iC33	07.nalk_ACL	-0.142576858
anteiso_CPI	nalk_ACL	13.anteiso_CPI	07.nalk_ACL	0.060072508
D_iC31	nalk_ACL	03.D_iC31	07.nalk_ACL	-0.194185331
pct_anteiso	nalk_ACL	15.pct_anteiso	07.nalk_ACL	-0.308149993
nalk_ACL	nalk_ACL	07.nalk_ACL	07.nalk_ACL	1
D_nC31	nalk_ACL	01.D_nC31	07.nalk_ACL	-0.033969924
pct_iso	nalk_ACL	10.pct_iso	07.nalk_ACL	-0.061968889
n31.i31	nalk_ACL	11.n31.i31	07.nalk_ACL	-0.221708432
n33.i33	nalk_CPI	12.n33.i33	08.nalk_CPI	-0.081502385
D_nC33	nalk_CPI	02.D_nC33	08.nalk_CPI	-0.039523404
anteiso_ACL	nalk_CPI	05.anteiso_ACL	08.nalk_CPI	0.233017609
mindex	nalk_CPI	14.mindex	08.nalk_CPI	-0.431200415
n31.i31	nalk_CPI	11.n31.i31	08.nalk_CPI	0.009716549
pct_anteiso	nalk_CPI	15.pct_anteiso	08.nalk_CPI	-0.397549689
iso_ACL	nalk_CPI	06.iso_ACL	08.nalk_CPI	-0.070805028
anteiso_CPI	nalk_CPI	13.anteiso_CPI	08.nalk_CPI	0.100225963
nalk_CPI	nalk_CPI	08.nalk_CPI	08.nalk_CPI	1
pct_iso	nalk_CPI	10.pct_iso	08.nalk_CPI	-0.371502995
iso_CPI	nalk_CPI	09.iso_CPI	08.nalk_CPI	0.171908155
D_iC31	nalk_CPI	03.D_iC31	08.nalk_CPI	-0.075985596
nalk_ACL	nalk_CPI	07.nalk_ACL	08.nalk_CPI	0.020979051
D_nC31	nalk_CPI	01.D_nC31	08.nalk_CPI	-0.041739017
D_iC33	nalk_CPI	04.D_iC33	08.nalk_CPI	0.014341759
iso_ACL	pct_anteiso	06.iso_ACL	15.pct_anteiso	-0.389636874
anteiso_CPI	pct_anteiso	13.anteiso_CPI	15.pct_anteiso	-0.514462173
iso_CPI	pct_anteiso	09.iso_CPI	15.pct_anteiso	0.004726992
D_iC31	pct_anteiso	03.D_iC31	15.pct_anteiso	0.058556821
D_nC33	pct_anteiso	02.D_nC33	15.pct_anteiso	-0.186747283
D_nC31	pct_anteiso	01.D_nC31	15.pct_anteiso	-0.182873502
pct_iso	pct_anteiso	10.pct_iso	15.pct_anteiso	0.263618231
D_iC33	pct_anteiso	04.D_iC33	15.pct_anteiso	-0.003826613
n33.i33	pct_anteiso	12.n33.i33	15.pct_anteiso	-0.364196181
pct_anteiso	pct_anteiso	15.pct_anteiso	15.pct_anteiso	1
mindex	pct_anteiso	14.mindex	15.pct_anteiso	0.856692612
nalk_CPI	pct_anteiso	08.nalk_CPI	15.pct_anteiso	-0.397549689
nalk_ACL	pct_anteiso	07.nalk_ACL	15.pct_anteiso	-0.308149993
anteiso_ACL	pct_anteiso	05.anteiso_ACL	15.pct_anteiso	-0.303236067
n31.i31	pct_anteiso	11.n31.i31	15.pct_anteiso	0.465107381
D_iC33	pct_iso	04.D_iC33	10.pct_iso	0.353238136
D_iC31	pct_iso	03.D_iC31	10.pct_iso	0.373110801
iso_CPI	pct_iso	09.iso_CPI	10.pct_iso	0.409318924
nalk_CPI	pct_iso	08.nalk_CPI	10.pct_iso	-0.371502995
anteiso_ACL	pct_iso	05.anteiso_ACL	10.pct_iso	-0.03958657
iso_ACL	pct_iso	06.iso_ACL	10.pct_iso	-0.205189764
n31.i31	pct_iso	11.n31.i31	10.pct_iso	0.083057187
anteiso_CPI	pct_iso	13.anteiso_CPI	10.pct_iso	-0.096623488
mindex	pct_iso	14.mindex	10.pct_iso	0.661665976
n33.i33	pct_iso	12.n33.i33	10.pct_iso	-0.183424577
pct_anteiso	pct_iso	15.pct_anteiso	10.pct_iso	0.263618231
D_nC33	pct_iso	02.D_nC33	10.pct_iso	0.242478818
nalk_ACL	pct_iso	07.nalk_ACL	10.pct_iso	-0.061968889
pct_iso	pct_iso	10.pct_iso	10.pct_iso	1
D_nC31	pct_iso	01.D_nC31	10.pct_iso	0.298122078
